name,unique_id,rating,time completed,time taken
Andrew Maudsley,DOSEESC_EM01_10.16.2017_9_24_27,Unacceptable,2025-04-19T22:29:31.437760,29.766863
Andrew Maudsley,DOSEESC_EM12_01.25.2019_11_45_35,Acceptable,2025-04-19T22:29:41.097481,8.616255
Andrew Maudsley,DOSEESC_JH10_12.28.2018_22_33_37,Acceptable,2025-04-19T22:29:48.189469,6.050606
Andrew Maudsley,DOSEESC_EM08_11.02.2018_8_51_37,Unacceptable,2025-04-19T22:30:02.484220,13.182644
Andrew Maudsley,DOSEESC_UM18_01.23.2019_17_41_42,Acceptable,2025-04-19T22:30:10.451956,6.84478
Andrew Maudsley,DOSEESC_EM04_01.10.2018_12_38_18,Unacceptable,2025-04-19T22:30:16.072427,4.527286
Andrew Maudsley,rGBM_007_05_30_2023_05.30.2023_23_42_24,Acceptable,2025-04-19T22:30:21.800622,4.634408
Andrew Maudsley,wholeGBM_004_03_10_2023_03.10.2023_18_40_36,Acceptable,2025-04-19T22:30:29.256435,6.387213
Andrew Maudsley,wholeGBM_002_04_13_2023_04.13.2023_18_28_24,Acceptable,2025-04-19T22:30:37.650489,7.378429
Andrew Maudsley,rGBM_007_05_30_2023_05.30.2023_13_45_37,Acceptable,2025-04-19T22:30:47.146395,8.318455
Andrew Maudsley,rGBM_001_06_30_2023_06.30.2023_20_27_28,Acceptable,2025-04-19T22:30:56.555280,8.339083
Andrew Maudsley,DOSEESC_EM09_12.17.2018_12_49_36,Acceptable,2025-04-19T22:31:09.392221,11.783975
Andrew Maudsley,DOSEESC_EM01_10.16.2017_15_21_29,Acceptable,2025-04-19T22:31:15.912119,5.491493
Andrew Maudsley,DOSEESC_EM01_10.16.2017_15_20_35,Acceptable,2025-04-19T22:31:43.024549,26.081711
Andrew Maudsley,rGBM_007_05_30_2023_05.30.2023_17_47_22,Acceptable,2025-04-19T22:33:00.733177,76.539945
Andrew Maudsley,rGBM_001_02_27_2023_02.27.2023_20_42_35,Acceptable,2025-04-19T22:33:07.393737,5.589895
Andrew Maudsley,DOSEESC_EM13_03.01.2019_21_35_38,Acceptable,2025-04-19T22:33:13.565757,5.08325
Andrew Maudsley,DOSEESC_UM13_08.22.2018_22_32_22,Acceptable,2025-04-19T22:33:20.452245,5.84238
Andrew Maudsley,DOSEESC_EM07_06.20.2018_11_38_45,Acceptable,2025-04-19T22:33:26.708439,5.076219
Andrew Maudsley,DOSEESC_EM13_03.20.2019_16_42_42,Acceptable,2025-04-19T22:33:34.404428,6.290863
Andrew Maudsley,DOSEESC_EM14_05.22.2019_18_30_21,Acceptable,2025-04-19T22:33:40.342477,4.838063
Andrew Maudsley,DOSEESC_EM15_06.11.2019_17_45_20,Acceptable,2025-04-19T22:33:50.077329,8.62539
Andrew Maudsley,rGBM_001_06_30_2023_06.30.2023_25_34_39,Unacceptable,2025-04-19T22:34:00.584183,9.39725
Andrew Maudsley,DOSEESC_UM05_05.30.2018_19_41_41,Unacceptable,2025-04-19T22:34:09.031335,7.249911
Andrew Maudsley,DOSEESC_EM05_01.31.2018_19_39_35,Acceptable,2025-04-19T22:34:16.734780,6.56347
