name,unique_id,rating,time completed,time taken
Eric Mellon,wholeGBM_002_03_10_2023_03.10.2023_23_32_26,Acceptable,2025-04-14T18:43:48.316252,4.141049
Eric Mellon,DOSEESC_EM04_02.07.2018_15_29_20,Acceptable,2025-04-14T18:43:53.663860,4.388558
Eric Mellon,DOSEESC_EM15_06.11.2019_18_37_44,Acceptable,2025-04-14T18:44:03.650818,8.481008
Eric Mellon,DOSEESC_UM15_11.28.2018_18_48_28,Acceptable,2025-04-14T18:44:08.792374,3.918319
Eric Mellon,DOSEESC_UM15_10.31.2018_18_41_32,Acceptable,2025-04-14T18:44:15.863613,5.504175
Eric Mellon,DOSEESC_EM03_12.12.2017_14_41_28,Unacceptable,2025-04-14T18:44:32.748286,15.865498
Eric Mellon,DOSEESC_EM05_02.23.2018_12_39_41,Acceptable,2025-04-14T18:44:36.830525,3.08336
Eric Mellon,rGBM_001_04_21_2023_04.21.2023_26_27_34,Unacceptable,2025-04-14T18:44:39.918189,2.082429
Eric Mellon,DOSEESC_JH10_12.28.2018_21_33_42,Acceptable,2025-04-14T18:44:43.955626,3.04067
Eric Mellon,rGBM_006_04_03_2023_04.03.2023_13_36_25,Acceptable,2025-04-14T18:45:07.525892,22.402816
Eric Mellon,DOSEESC_JH10_12.28.2018_16_46_37,Unacceptable,2025-04-14T18:45:19.917622,11.306331
Eric Mellon,DOSEESC_EM07_06.20.2018_20_21_24,Unacceptable,2025-04-14T18:45:22.929672,2.024926
Eric Mellon,DOSEESC_EM01_10.16.2017_16_18_30,Acceptable,2025-04-14T18:45:25.867445,1.98905
Eric Mellon,wholeGBM_002_03_10_2023_03.10.2023_20_33_25,Acceptable,2025-04-14T18:46:00.614575,4.292775
Eric Mellon,DOSEESC_EM09_12.17.2018_20_23_39,Unacceptable,2025-04-14T18:46:05.590973,3.776697
Eric Mellon,DOSEESC_EM07_07.16.2018_19_37_39,Acceptable,2025-04-14T18:46:09.368818,2.788344
Eric Mellon,DOSEESC_EM02_11.14.2017_19_41_24,Unacceptable,2025-04-14T18:46:12.922174,2.568069
Eric Mellon,rGBM_006_08_01_2023_08.01.2023_19_31_24,Acceptable,2025-04-14T18:46:21.307677,7.030774
Eric Mellon,DOSEESC_JH03_07.06.2018_19_42_35,Acceptable,2025-04-14T18:46:26.786970,4.281733
Eric Mellon,DOSEESC_JH10_12.28.2018_22_30_28,Acceptable,2025-04-14T18:46:29.409784,1.621664
Eric Mellon,rGBM_001_02_27_2023_02.27.2023_21_32_40,Unacceptable,2025-04-14T18:46:41.921304,10.83116
Eric Mellon,DOSEESC_EM14_05.22.2019_15_47_34,Acceptable,2025-04-14T18:46:48.814259,5.882786
Eric Mellon,DOSEESC_EM09_12.17.2018_11_45_37,Acceptable,2025-04-14T18:46:52.512735,2.778983
Eric Mellon,wholeGBM_002_04_13_2023_04.13.2023_17_24_23,Acceptable,2025-04-14T18:46:57.511584,3.789439
Eric Mellon,DOSEESC_EM01_09.20.2017_13_31_22,Acceptable,2025-04-14T18:47:02.983107,4.13107
Eric Mellon,wholeGBM_002_03_10_2023_03.10.2023_23_27_26,Acceptable,2025-04-14T18:47:05.543174,1.450965
Eric Mellon,DOSEESC_EM09_12.17.2018_10_44_41,Acceptable,2025-04-14T18:47:12.871132,6.254613
Eric Mellon,DOSEESC_JH10_12.05.2018_17_35_44,Acceptable,2025-04-14T18:47:17.309844,3.512143
Eric Mellon,DOSEESC_EM07_06.20.2018_15_19_27,Unacceptable,2025-04-14T18:47:20.149041,1.552926
Eric Mellon,DOSEESC_EM10_01.16.2019_10_45_38,Acceptable,2025-04-14T18:47:30.095787,8.735766
Eric Mellon,rGBM_002_04_28_2023_04.28.2023_12_44_22,Acceptable,2025-04-14T18:47:32.998131,1.678336
Eric Mellon,rGBM_001_06_30_2023_06.30.2023_23_26_39,Acceptable,2025-04-14T18:47:37.693892,3.69894
Eric Mellon,DOSEESC_EM14_05.22.2019_23_33_25,Acceptable,2025-04-14T18:47:42.848641,3.847243
Eric Mellon,DOSEESC_UM15_11.28.2018_21_44_23,Acceptable,2025-04-14T18:47:48.467820,4.641847
Eric Mellon,DOSEESC_JH10_12.28.2018_14_39_42,Acceptable,2025-04-14T18:47:50.878626,1.4144
Eric Mellon,DOSEESC_EM15_06.11.2019_19_33_23,Acceptable,2025-04-14T18:47:53.278295,1.241929
Eric Mellon,rGBM_001_08_30_2023_08.30.2023_19_28_25,Acceptable,2025-04-14T18:47:57.742456,3.457866
Eric Mellon,DOSEESC_EM14_06.10.2019_6_45_26,Unacceptable,2025-04-14T18:48:07.058032,8.339569
Eric Mellon,DOSEESC_EM15_06.11.2019_10_41_42,Acceptable,2025-04-14T18:48:10.681659,1.952222
Eric Mellon,rGBM_006_08_01_2023_08.01.2023_18_30_20,Acceptable,2025-04-14T18:48:13.230289,1.361767
Eric Mellon,DOSEESC_EM01_09.20.2017_13_21_30,Acceptable,2025-04-14T18:48:16.466450,2.161526
Eric Mellon,DOSEESC_EM12_02.12.2019_12_33_41,Acceptable,2025-04-14T18:48:23.327711,5.566576
Eric Mellon,DOSEESC_UM18_02.18.2019_16_40_44,Acceptable,2025-04-14T18:48:30.054606,5.426739
Eric Mellon,DOSEESC_UM18_02.18.2019_14_31_43,Acceptable,2025-04-14T18:48:39.221483,2.606151
Eric Mellon,DOSEESC_EM01_10.16.2017_15_20_35,Acceptable,2025-04-14T18:48:43.426614,2.526422
Eric Mellon,DOSEESC_UM18_01.23.2019_16_39_39,Acceptable,2025-04-14T18:48:47.862368,3.446121
